Код;Торговая марка;Номер производителя;Наименование;Ост, не менее, шт.;Цена, руб.;ОЕМ;Кратность отгрузки;Штрихкод
131265;AVANTECH;AB5004;Лампа высокотемпературная Avantech H4 12V 60/55W (135/125W) 5000K, комплект 2 шт.;100;431,24;;1;4680261040609
131253;AVANTECH;AB5005;Лампа высокотемпературная Avantech HB3 12V 65W (120W) 5000K, комплект 2 шт.;100;469,61;;1;4680261040487
131255;AVANTECH;AB5006;Лампа высокотемпературная Avantech HB4 12V 55W (110W) 5000K, комплект 2 шт.;100;519,05;;1;4680261040500
131267;AVANTECH;AB5007;Лампа высокотемпературная Avantech H7 12V 55W (100W) 5000K, комплект 2 шт.;100;431,24;;1;ab5007
154809;AVANTECH;AB5011;Лампа высокотемпературная Avantech H11 12V 55W (100W) 5000K, комплект 2 шт.;100;532,06;90981-AD001 / 90981-AF004;1;4680261053593
131260;AVANTECH;AB5016;Лампа высокотемпературная Avantech H16 12V 19W (30W) 5000K, комплект 2 шт.;50;702,47;90981-13090;1;4680261040555
118065;KOITO;0745W;Лампа высокотемпературная Koito Whitebeam IH01 12V 60/55W (100/90W) 4000K (уп. 1 шт.);6;764,04;;1;4961065900666
117796;KOITO;0750W;Лампа высокотемпературная Koito Whitebeam H11 12V 55W (100W) 4000K (уп. 1 шт.);50;931,63;;1;4961065900468
117797;KOITO;0751W;Лампа высокотемпературная Koito Whitebeam H1 12V 55W (100W) 4200K (уп. 1 шт.);100;589,88;;1;4961065900529
117798;KOITO;0752W;Лампа высокотемпературная Koito Whitebeam H3 12V 55W (100W) 4000K (уп. 1 шт.);20;455,82;;1;4961065900536
117799;KOITO;0753W;Лампа высокотемпературная Koito Whitebeam H3c 12V 55W (100W) 4000K (уп. 1 шт.);20;559,94;;1;4961065900543
117801;KOITO;0755W;Лампа высокотемпературная Koito Whitebeam H7 12V 55W (100W) 4200K (уп. 1 шт.);20;817,55;;1;4961065057452
117803;KOITO;0757W;Лампа высокотемпературная Koito Whitebeam 9006 (HB4) 12V 55W (110W) 4200K (уп. 1 шт.);100;620,91;;1;4961065900499
117804;KOITO;0758W;Лампа высокотемпературная Koito Whitebeam H8 12V 35W (70W) 4000K (уп. 1 шт.);50;1 025,7;;1;4961065900505
117805;KOITO;0759W;Лампа высокотемпературная Koito Whitebeam H9 12V 65W (120W) 4000K (уп. 1 шт.);100;1 098,96;;1;4961065900512
119978;KOITO;P0728W;Лампа высокотемпературная Koito Whitebeam H27/1 12V 27W (55W) 4000K (комплект 2 шт.);4;1 517,61;;1;4961065900956
